DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,GISJOIN,GISJOIN2,data1870 (,data1880_P
1880,Appling,130,0010,44,10,APPLING,Georgia,44,10,13001,G1300010,1300010,> 1000,1000 - 2500
1880,Baker,130,0070,44,70,BAKER,Georgia,44,70,13007,G1300070,1300070,2500 - 5000,5000 - 10000
1880,Baldwin,130,0090,44,90,BALDWIN,Georgia,44,90,13009,G1300090,1300090,5000 - 10000,5000 - 10000
1880,Banks,130,0110,44,110,BANKS,Georgia,44,110,13011,G1300110,1300110,> 1000,1000 - 2500
1880,Bartow,130,0150,44,150,BARTOW,Georgia,44,150,13015,G1300150,1300150,2500 - 5000,5000 - 10000
1880,Berrien,130,0190,44,190,BERRIEN,Georgia,44,190,13019,G1300190,1300190,> 1000,> 1000
1880,Bibb,130,0210,44,210,BIBB,Georgia,44,210,13021,G1300210,1300210,10000 - 15000,15000 - 20000
1880,Brooks,130,0270,44,270,BROOKS,Georgia,44,270,13027,G1300270,1300270,2500 - 5000,5000 - 10000
1880,Bryan,130,0290,44,290,BRYAN,Georgia,44,290,13029,G1300290,1300290,2500 - 5000,2500 - 5000
1880,Bulloch,130,0310,44,310,BULLOCH,Georgia,44,310,13031,G1300310,1300310,1000 - 2500,1000 - 2500
1880,Burke,130,0330,44,330,BURKE,Georgia,44,330,13033,G1300330,1300330,10000 - 15000,20000 - 30000
1880,Butts,130,0350,44,350,BUTTS,Georgia,44,350,13035,G1300350,1300350,2500 - 5000,2500 - 5000
1880,Calhoun,130,0370,44,370,CALHOUN,Georgia,44,370,13037,G1300370,1300370,2500 - 5000,2500 - 5000
1880,Camden,130,0390,44,390,CAMDEN,Georgia,44,390,13039,G1300390,1300390,2500 - 5000,2500 - 5000
1880,Campbell,130,0395,44,410,CAMPBELL,Georgia,44,410,13041,G1300395,1300395,2500 - 5000,2500 - 5000
1880,Carroll,130,0450,44,450,CARROLL,Georgia,44,450,13045,G1300450,1300450,1000 - 2500,1000 - 2500
1880,Catoosa,130,0470,44,470,CATOOSA,Georgia,44,470,13047,G1300470,1300470,> 1000,> 1000
1880,Charlton,130,0490,44,490,CHARLTON,Georgia,44,490,13049,G1300490,1300490,> 1000,> 1000
1880,Chatham,130,0510,44,510,CHATHAM,Georgia,44,510,13051,G1300510,1300510,20000 - 30000,20000 - 30000
1880,Chattahoochee,130,0530,44,530,CHATTAHOOCHEE,Georgia,44,530,13053,G1300530,1300530,2500 - 5000,2500 - 5000
1880,Chattooga,130,0550,44,550,CHATTOOGA,Georgia,44,550,13055,G1300550,1300550,1000 - 2500,1000 - 2500
1880,Cherokee,130,0570,44,570,CHEROKEE,Georgia,44,570,13057,G1300570,1300570,1000 - 2500,1000 - 2500
1880,Clarke,130,0590,44,590,CLARKE,Georgia,44,590,13059,G1300590,1300590,5000 - 10000,5000 - 10000
1880,Clay,130,0610,44,610,CLAY,Georgia,44,610,13061,G1300610,1300610,2500 - 5000,2500 - 5000
1880,Clayton,130,0630,44,630,CLAYTON,Georgia,44,630,13063,G1300630,1300630,1000 - 2500,2500 - 5000
1880,Clinch,130,0650,44,650,CLINCH,Georgia,44,650,13065,G1300650,1300650,> 1000,> 1000
1880,Cobb,130,0670,44,670,COBB,Georgia,44,670,13067,G1300670,1300670,2500 - 5000,5000 - 10000
1880,Coffee,130,0690,44,690,COFFEE,Georgia,44,690,13069,G1300690,1300690,> 1000,1000 - 2500
1880,Colquitt,130,0710,44,710,COLQUITT,Georgia,44,710,13071,G1300710,1300710,> 1000,> 1000
1880,Columbia,130,0730,44,730,COLUMBIA,Georgia,44,730,13073,G1300730,1300730,5000 - 10000,5000 - 10000
1880,Coweta,130,0770,44,770,COWETA,Georgia,44,770,13077,G1300770,1300770,5000 - 10000,10000 - 15000
1880,Crawford,130,0790,44,790,CRAWFORD,Georgia,44,790,13079,G1300790,1300790,2500 - 5000,2500 - 5000
1880,Dade,130,0830,44,830,DADE,Georgia,44,830,13083,G1300830,1300830,> 1000,1000 - 2500
1880,Dawson,130,0850,44,850,DAWSON,Georgia,44,850,13085,G1300850,1300850,> 1000,> 1000
1880,Decatur,130,0870,44,870,DECATUR,Georgia,44,870,13087,G1300870,1300870,5000 - 10000,10000 - 15000
1880,DeKalb,130,0890,44,890,DEKALB,Georgia,44,890,13089,G1300890,1300890,2500 - 5000,2500 - 5000
1880,Dodge,130,0910,44,910,DODGE,Georgia,44,910,13091,G1300910,1300910,,1000 - 2500
1880,Dooly,130,0930,44,930,DOOLY,Georgia,44,930,13093,G1300930,1300930,2500 - 5000,5000 - 10000
1880,Dougherty,130,0950,44,950,DOUGHERTY,Georgia,44,950,13095,G1300950,1300950,5000 - 10000,10000 - 15000
1880,Douglas,130,0970,44,970,DOUGLAS,Georgia,44,970,13097,G1300970,1300970,,1000 - 2500
1880,Early,130,0990,44,990,EARLY,Georgia,44,990,13099,G1300990,1300990,2500 - 5000,2500 - 5000
1880,Echols,130,1010,44,1010,ECHOLS,Georgia,44,1010,13101,G1301010,1301010,> 1000,> 1000
1880,Effingham,130,1030,44,1030,EFFINGHAM,Georgia,44,1030,13103,G1301030,1301030,1000 - 2500,2500 - 5000
1880,Elbert,130,1050,44,1050,ELBERT,Georgia,44,1050,13105,G1301050,1301050,2500 - 5000,5000 - 10000
1880,Emanuel,130,1070,44,1070,EMANUEL,Georgia,44,1070,13107,G1301070,1301070,1000 - 2500,2500 - 5000
1880,Fannin,130,1110,44,1110,FANNIN,Georgia,44,1110,13111,G1301110,1301110,> 1000,> 1000
1880,Fayette,130,1130,44,1130,FAYETTE,Georgia,44,1130,13113,G1301130,1301130,2500 - 5000,2500 - 5000
1880,Floyd,130,1150,44,1150,FLOYD,Georgia,44,1150,13115,G1301150,1301150,5000 - 10000,5000 - 10000
1880,Forsyth,130,1170,44,1170,FORSYTH,Georgia,44,1170,13117,G1301170,1301170,1000 - 2500,1000 - 2500
1880,Franklin,130,1190,44,1190,FRANKLIN,Georgia,44,1190,13119,G1301190,1301190,1000 - 2500,2500 - 5000
1880,Fulton,130,1210,44,1210,FULTON,Georgia,44,1210,13121,G1301210,1301210,15000 - 20000,20000 - 30000
1880,Gilmer,130,1230,44,1230,GILMER,Georgia,44,1230,13123,G1301230,1301230,> 1000,> 1000
1880,Glascock,130,1250,44,1250,GLASCOCK,Georgia,44,1250,13125,G1301250,1301250,> 1000,1000 - 2500
1880,Glynn,130,1270,44,1270,GLYNN,Georgia,44,1270,13127,G1301270,1301270,2500 - 5000,2500 - 5000
1880,Gordon,130,1290,44,1290,GORDON,Georgia,44,1290,13129,G1301290,1301290,1000 - 2500,1000 - 2500
1880,Greene,130,1330,44,1330,GREENE,Georgia,44,1330,13133,G1301330,1301330,5000 - 10000,10000 - 15000
